brand,img_path
United,./src/United.jpg
Ampol,./src/Ampol.jpg
Metro Fuel,./src/Metro Fuel.jpg
EG Ampol,./src/EG Ampol.jpg
Transwest Fuels,./src/Transwest Fuels.jpg
Independent,./src/Independent.jpg
BP,./src/BP.jpg
7-Eleven,./src/7-Eleven.jpg
Mobil,./src/Mobil.jpg
Caltex,./src/Caltex.jpg
Shell,./src/Shell.jpg
Enhance,./src/Enhance.jpg
Lowes,./src/Lowes.jpg
Liberty,./src/Liberty.jpg
Westside,./src/Westside.jpg
Pearl Energy,./src/Pearl Energy.jpg
Reddy Express,./src/Reddy Express.jpg
Costco,./src/Costco.jpg
Speedway,./src/Speedway.jpg
U-Go,./src/U-Go.jpg
Budget,./src/Budget.jpg
ASTRON,./src/ASTRON.jpg
NRMA,./src/NRMA.jpg
Woodham Petroleum,./src/Woodham Petroleum.jpg
Ultra Petroleum,./src/Ultra Petroleum.jpg
South West,./src/South West.jpg
Coles Express,./src/Coles Express.jpg
Tesla,./src/Tesla.jpg
Chargefox,./src/Chargefox.jpg
Everty,./src/Everty.jpg
Evie Networks,./src/Evie Networks.jpg
Independent EV,./src/Independent EV.jpg
EVUp,./src/EVUp.jpg
ChargePoint,./src/ChargePoint.jpg
JOLT,./src/JOLT.jpg
Exploren,./src/Exploren.jpg
Inland Petroleum,./src/Inland Petroleum.jpg
